EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
1117,140,749,14,1460,14,13,709.0,17,832,2.54,300,122,1152,311,59,31974.0,36125.0,17265.0,23929.0,129,202,109,1135,349,332,1097,883,455,63,16,0,0,2.6,18,39,364,203,113,871,761,33.8,15,16,0,0,15,708,18,15,0,3434158.0
1117,140,749,14,1460,14,13,709.0,17,832,2.54,300,122,1152,311,59,31974.0,36125.0,17265.0,23929.0,129,202,109,1135,349,332,1097,883,455,63,16,0,0,2.6,18,39,364,203,113,871,761,33.8,15,16,0,0,15,708,18,15,0,3434158.0
1340,384,2298,31,3998,27,12,923.0,0,727,2.87,368,162,1176,472,79,34540.0,33454.0,34375.0,24892.0,300,364,108,1126,512,537,3201,2596,361,174,11,0,0,3.3,122,108,258,296,136,2422,1782,20.4,0,0,0,19,0,482,220,0,0,1959313.0
1340,384,2298,31,3998,27,12,923.0,0,727,2.87,368,162,1176,472,79,34540.0,33454.0,34375.0,24892.0,300,364,108,1126,512,537,3201,2596,361,174,11,0,0,3.3,122,108,258,296,136,2422,1782,20.4,0,0,0,19,0,482,220,0,0,1959313.0
4274,869,2577,606,5099,237,54,1105.0,40,2370,2.97,1142,345,2595,1174,472,78462.0,41750.0,78125.0,61175.0,286,745,429,2566,1995,606,5108,4104,205,659,517,285,197,5.4,512,386,1367,897,300,2975,2822,35.1,575,569,7,274,109,2282,55,125,0,12364726.0
2069,402,969,179,2367,21,47,810.0,0,1205,3.55,429,340,1347,426,137,48889.0,27135.0,63177.0,34960.0,72,355,71,1326,498,206,1496,1590,144,264,218,36,11,4.2,271,53,715,376,111,1199,1577,34.8,201,138,0,156,73,851,58,60,71,3836503.0
2060,349,1184,249,2353,71,24,826.0,10,1148,3.09,552,237,1368,525,120,68438.0,42788.0,80000.0,50000.0,131,409,116,1273,780,375,1858,1697,333,293,166,74,57,4.3,230,77,610,387,213,1365,1343,36.4,261,200,18,174,72,763,147,27,29,7853327.0
5088,663,2526,728,5599,163,0,982.0,66,2590,3.13,1340,306,2866,1356,369,76832.0,55895.0,74875.0,61341.0,312,1107,249,2685,2000,837,5269,4644,349,712,655,251,167,5.0,495,238,1585,1050,516,2999,3838,35.4,337,782,21,418,114,2458,126,82,24,11561448.0
2825,474,1593,292,3067,18,60,738.0,12,1244,2.71,637,443,2019,789,124,50757.0,47200.0,41741.0,31721.0,185,508,281,1954,792,542,2174,1915,678,250,55,41,15,3.1,168,254,547,670,219,1837,1627,44.0,57,20,7,228,10,762,494,35,0,5050683.0
2825,474,1593,292,3067,18,60,738.0,12,1244,2.71,637,443,2019,789,124,50757.0,47200.0,41741.0,31721.0,185,508,281,1954,792,542,2174,1915,678,250,55,41,15,3.1,168,254,547,670,219,1837,1627,44.0,57,20,7,228,10,762,494,35,0,5050683.0
1710,482,822,154,1851,8,0,712.0,0,1127,2.39,379,87,1354,105,145,37803.0,39140.0,27863.0,27927.0,90,100,5,1289,461,359,1404,1040,372,81,73,32,10,2.5,44,2,654,360,93,910,1143,35.9,8,12,0,10,22,858,27,0,3,4378296.0
2439,441,1477,41,2917,70,0,830.0,10,999,2.78,520,330,1935,538,228,50243.0,44302.0,61310.0,40131.0,243,325,213,1794,1109,503,1825,1460,657,241,111,18,26,2.8,75,213,726,572,118,1622,1469,36.6,0,18,0,153,53,493,407,0,0,9154873.0
2439,441,1477,41,2917,70,0,830.0,10,999,2.78,520,330,1935,538,228,50243.0,44302.0,61310.0,40131.0,243,325,213,1794,1109,503,1825,1460,657,241,111,18,26,2.8,75,213,726,572,118,1622,1469,36.6,0,18,0,153,53,493,407,0,0,9154873.0
1745,194,895,0,2045,0,0,664.0,8,725,2.43,240,95,969,219,96,41389.0,42067.0,68357.0,40587.0,66,144,75,964,342,438,1601,1103,112,135,6,0,0,2.5,65,54,395,347,69,915,1150,39.8,0,6,0,57,0,554,82,0,0,4181735.0
2423,368,1396,75,2577,30,86,588.0,15,1036,2.35,486,490,1688,564,117,54016.0,58479.0,16711.0,28333.0,192,542,22,1647,758,307,1759,1767,593,243,85,21,29,3.3,271,22,858,272,172,1426,1245,41.2,13,114,0,235,0,639,85,124,105,11960317.0
2999,311,1705,20,3087,222,13,882.0,33,1531,2.46,501,866,2333,854,382,55466.0,53393.0,78795.0,42804.0,195,568,286,2272,985,243,2048,1962,1005,282,114,0,38,3.1,147,234,618,405,167,1807,1466,45.9,12,0,0,109,0,1211,151,0,32,4619595.0
2999,311,1705,20,3087,222,13,882.0,33,1531,2.46,501,866,2333,854,382,55466.0,53393.0,78795.0,42804.0,195,568,286,2272,985,243,2048,1962,1005,282,114,0,38,3.1,147,234,618,405,167,1807,1466,45.9,12,0,0,109,0,1211,151,0,32,4619595.0
3383,403,1850,592,3691,319,0,1115.0,11,2032,3.05,864,184,2069,893,260,122256.0,82386.0,98198.0,76354.0,299,688,205,2069,1935,417,3825,3506,254,387,457,184,134,5.5,476,205,957,730,224,2168,2198,37.4,527,401,217,165,66,1923,112,0,0,11503389.0
2393,297,1244,112,2576,84,0,1046.0,11,1198,3.16,585,150,1377,676,191,77868.0,47059.0,74112.0,61148.0,165,548,128,1377,1304,250,2281,2139,167,343,372,183,113,5.3,302,94,770,372,143,1437,1577,36.2,271,206,12,167,90,1155,152,7,23,8111230.0
2423,537,1435,382,2631,6,0,936.0,14,1234,2.96,980,417,1294,1173,279,87154.0,76324.0,85833.0,80556.0,140,743,430,1267,632,407,2989,3168,8,548,298,164,137,5.5,487,345,429,565,293,1767,1508,43.1,1272,32,21,771,152,77,852,0,6,10882398.0
2423,537,1435,382,2631,6,0,936.0,14,1234,2.96,980,417,1294,1173,279,87154.0,76324.0,85833.0,80556.0,140,743,430,1267,632,407,2989,3168,8,548,298,164,137,5.5,487,345,429,565,293,1767,1508,43.1,1272,32,21,771,152,77,852,0,6,10882398.0
4801,1058,2751,970,5319,86,0,980.0,21,2721,2.98,1644,760,2848,2158,550,87601.0,72623.0,99063.0,78019.0,320,1439,719,2848,1373,850,5802,5885,345,626,503,324,301,5.5,692,659,925,1166,335,3250,3097,41.8,1722,84,10,924,341,1300,383,48,16,17071277.0
4801,1058,2751,970,5319,86,0,980.0,21,2721,2.98,1644,760,2848,2158,550,87601.0,72623.0,99063.0,78019.0,320,1439,719,2848,1373,850,5802,5885,345,626,503,324,301,5.5,692,659,925,1166,335,3250,3097,41.8,1722,84,10,924,341,1300,383,48,16,17071277.0
1042,288,713,237,1281,0,0,1315.0,0,569,3.19,378,200,575,535,103,100781.0,58594.0,95313.0,84604.0,70,269,266,575,318,183,1367,1475,0,102,151,62,89,6.1,133,249,160,281,51,859,646,40.9,468,27,12,248,104,198,170,0,0,3925866.0
961,279,785,338,1213,29,30,920.0,0,453,3.45,444,114,504,225,57,30211.0,45265.0,33182.0,20526.0,0,120,105,504,122,164,1594,47,22,186,239,71,47,5.9,4,18,226,294,47,870,753,29.7,206,47,0,4,0,288,112,0,0,2107661.0
922,187,538,329,1173,0,23,772.0,0,509,3.66,328,87,542,167,19,25496.0,45694.0,16319.0,15833.0,24,106,61,519,56,115,1516,0,18,332,151,42,16,5.2,0,29,195,241,137,704,812,33.5,185,151,0,3,0,451,106,17,16,1505553.0
2360,520,1561,847,2974,10,271,536.0,20,1210,3.38,830,574,1669,281,161,26877.0,29830.0,21659.0,16743.0,45,197,84,1647,221,275,3942,59,310,382,281,39,160,4.4,37,49,470,464,141,2156,1804,33.3,242,118,0,0,23,604,27,431,0,10392787.0
1969,423,1421,657,2496,21,33,779.0,19,956,3.91,768,548,1184,377,46,29440.0,29550.0,25426.0,20318.0,88,230,147,1095,211,164,3483,89,67,538,384,142,48,5.2,68,63,245,374,190,1874,1627,34.4,334,318,0,39,18,895,117,113,0,5252480.0
2397,629,1791,634,2982,58,0,877.0,0,1284,3.48,922,340,1350,521,71,38584.0,41066.0,33125.0,30514.0,83,315,206,1274,231,426,4028,10,27,427,534,225,85,5.7,68,133,535,632,74,2206,1822,30.3,498,342,0,0,8,1020,242,0,0,4908368.0
1696,479,1266,836,2140,48,20,765.0,0,768,4.02,690,258,937,270,31,24083.0,29702.0,15417.0,16063.0,36,112,158,798,141,319,3164,9,83,618,166,57,46,5.0,0,131,514,270,109,1834,1394,26.6,211,238,0,0,0,754,222,61,29,3344737.0
1776,418,1402,568,2215,17,0,950.0,11,841,3.95,730,219,952,239,149,44714.0,22219.0,35439.0,22500.0,49,197,42,906,194,251,3186,0,84,314,487,201,25,5.6,19,39,223,542,208,1932,1309,30.4,198,383,0,0,38,897,125,0,27,3393932.0
1891,427,1413,558,2387,90,0,855.0,0,1077,3.7,741,370,1132,426,46,39914.0,38988.0,21797.0,16901.0,46,222,204,1071,195,251,3252,11,0,398,359,247,83,5.8,0,122,439,421,187,1785,1467,30.6,635,176,0,0,91,769,177,0,42,5285668.0
2328,659,1650,800,2955,81,41,898.0,24,1058,3.81,928,320,1321,461,64,37264.0,40906.0,26940.0,23494.0,44,273,188,1264,235,231,3994,43,98,310,507,181,300,5.8,64,109,483,615,216,2290,1722,31.4,451,107,31,29,40,804,153,17,9,4439686.0
2328,659,1650,800,2955,81,41,898.0,24,1058,3.81,928,320,1321,461,64,37264.0,40906.0,26940.0,23494.0,44,273,188,1264,235,231,3994,43,98,310,507,181,300,5.8,64,109,483,615,216,2290,1722,31.4,451,107,31,29,40,804,153,17,9,4439686.0
1324,418,952,463,1638,83,9,1071.0,0,607,4.3,516,172,727,323,27,44817.0,37955.0,47917.0,27589.0,0,247,76,716,122,195,2431,0,42,348,303,136,28,5.6,53,10,338,255,118,1399,1078,28.0,229,267,0,19,36,425,79,17,0,2655826.0
1324,418,952,463,1638,83,9,1071.0,0,607,4.3,516,172,727,323,27,44817.0,37955.0,47917.0,27589.0,0,247,76,716,122,195,2431,0,42,348,303,136,28,5.6,53,10,338,255,118,1399,1078,28.0,229,267,0,19,36,425,79,17,0,2655826.0
1295,259,1035,299,1728,18,41,754.0,8,601,3.68,477,306,799,245,8,24518.0,26250.0,30859.0,17434.0,48,86,159,790,89,225,2194,0,122,267,269,170,20,5.1,8,50,128,318,147,1282,912,37.4,173,179,0,0,16,564,33,46,18,2257677.0
1295,259,1035,299,1728,18,41,754.0,8,601,3.68,477,306,799,245,8,24518.0,26250.0,30859.0,17434.0,48,86,159,790,89,225,2194,0,122,267,269,170,20,5.1,8,50,128,318,147,1282,912,37.4,173,179,0,0,16,564,33,46,18,2257677.0
2990,517,1679,918,3342,0,0,1103.0,21,1445,3.32,1196,568,1547,1468,200,120461.0,81667.0,110533.0,100828.0,188,935,533,1535,1179,286,3807,3913,0,341,354,372,209,6.5,700,524,275,701,271,2189,2269,41.9,1422,61,27,691,240,299,652,0,29,15472427.0
2990,517,1679,918,3342,0,0,1103.0,21,1445,3.32,1196,568,1547,1468,200,120461.0,81667.0,110533.0,100828.0,188,935,533,1535,1179,286,3807,3913,0,341,354,372,209,6.5,700,524,275,701,271,2189,2269,41.9,1422,61,27,691,240,299,652,0,29,15472427.0
3039,652,1721,569,3352,39,0,828.0,9,1528,3.16,1201,507,1591,1397,224,108958.0,72885.0,109493.0,89005.0,203,936,461,1582,1025,413,3466,3523,43,334,358,343,198,6.5,808,440,339,596,463,2163,2065,44.4,1428,12,29,491,310,157,585,0,30,17068059.0
3039,652,1721,569,3352,39,0,828.0,9,1528,3.16,1201,507,1591,1397,224,108958.0,72885.0,109493.0,89005.0,203,936,461,1582,1025,413,3466,3523,43,334,358,343,198,6.5,808,440,339,596,463,2163,2065,44.4,1428,12,29,491,310,157,585,0,30,17068059.0
3039,652,1721,569,3352,39,0,828.0,9,1528,3.16,1201,507,1591,1397,224,108958.0,72885.0,109493.0,89005.0,203,936,461,1582,1025,413,3466,3523,43,334,358,343,198,6.5,808,440,339,596,463,2163,2065,44.4,1428,12,29,491,310,157,585,0,30,17068059.0
4568,826,2708,822,5156,10,0,961.0,0,2308,3.16,1745,807,2387,2063,284,128383.0,77244.0,132555.0,99543.0,353,1265,798,2357,1427,890,5087,4794,99,438,692,583,266,6.4,1027,784,501,1122,400,3365,3062,44.3,1954,40,34,887,407,500,896,42,20,22040388.0
2342,503,1336,658,2779,30,0,1001.0,4,1270,3.59,924,279,1274,943,185,79581.0,46279.0,75526.0,65417.0,77,766,177,1236,885,494,2958,2416,49,409,321,207,97,5.6,423,161,529,542,198,1794,1926,34.6,920,61,0,521,245,853,225,30,0,9852860.0
1218,275,861,338,1512,30,10,500.0,0,666,3.62,389,223,714,226,5,19997.0,21667.0,18819.0,13962.0,17,158,68,687,96,77,1801,44,67,199,189,67,15,4.5,39,32,212,409,77,1041,845,38.4,180,121,0,0,22,239,137,33,24,3329944.0
1218,275,861,338,1512,30,10,500.0,0,666,3.62,389,223,714,226,5,19997.0,21667.0,18819.0,13962.0,17,158,68,687,96,77,1801,44,67,199,189,67,15,4.5,39,32,212,409,77,1041,845,38.4,180,121,0,0,22,239,137,33,24,3329944.0
705,197,449,272,943,75,33,1020.0,59,290,3.59,275,109,405,164,31,27329.0,30486.0,41964.0,19805.0,0,135,29,382,30,14,1174,24,48,138,120,0,19,5.4,7,15,46,231,54,561,613,41.3,156,76,0,7,42,303,176,0,0,41579.0
705,197,449,272,943,75,33,1020.0,59,290,3.59,275,109,405,164,31,27329.0,30486.0,41964.0,19805.0,0,135,29,382,30,14,1174,24,48,138,120,0,19,5.4,7,15,46,231,54,561,613,41.3,156,76,0,7,42,303,176,0,0,41579.0
2675,639,1457,845,3069,53,0,883.0,0,1320,3.61,1031,231,1340,781,190,74293.0,50691.0,49570.0,63074.0,243,569,212,1288,443,687,3624,3325,68,283,429,170,41,5.7,324,158,694,522,190,2090,2275,31.9,635,255,0,304,215,1067,59,133,128,109366.0
2675,639,1457,845,3069,53,0,883.0,0,1320,3.61,1031,231,1340,781,190,74293.0,50691.0,49570.0,63074.0,243,569,212,1288,443,687,3624,3325,68,283,429,170,41,5.7,324,158,694,522,190,2090,2275,31.9,635,255,0,304,215,1067,59,133,128,109366.0
2675,639,1457,845,3069,53,0,883.0,0,1320,3.61,1031,231,1340,781,190,74293.0,50691.0,49570.0,63074.0,243,569,212,1288,443,687,3624,3325,68,283,429,170,41,5.7,324,158,694,522,190,2090,2275,31.9,635,255,0,304,215,1067,59,133,128,109366.0
2675,639,1457,845,3069,53,0,883.0,0,1320,3.61,1031,231,1340,781,190,74293.0,50691.0,49570.0,63074.0,243,569,212,1288,443,687,3624,3325,68,283,429,170,41,5.7,324,158,694,522,190,2090,2275,31.9,635,255,0,304,215,1067,59,133,128,109366.0
2675,639,1457,845,3069,53,0,883.0,0,1320,3.61,1031,231,1340,781,190,74293.0,50691.0,49570.0,63074.0,243,569,212,1288,443,687,3624,3325,68,283,429,170,41,5.7,324,158,694,522,190,2090,2275,31.9,635,255,0,304,215,1067,59,133,128,109366.0
688,69,431,375,950,0,0,788.0,0,343,4.32,311,21,374,127,30,47030.0,29583.0,31719.0,30938.0,0,94,33,308,35,98,867,537,75,85,72,16,14,4.7,31,33,222,104,77,648,790,22.9,121,69,0,0,42,183,45,15,0,5358944.0
1268,85,737,561,1598,0,0,743.0,13,531,4.46,433,129,544,291,69,55921.0,29063.0,48271.0,48351.0,9,238,53,406,104,251,1153,1243,75,183,109,25,20,4.9,102,43,481,196,146,1051,1200,29.5,155,128,0,35,95,462,92,0,0,2885822.0
2758,378,1819,1340,3632,11,0,706.0,0,1164,4.53,1120,244,1192,815,146,47841.0,28009.0,37131.0,36980.0,75,594,221,1000,175,379,2861,3043,84,509,314,75,53,5.1,128,162,874,414,265,2670,2645,27.1,812,255,0,142,217,720,262,0,0,7720900.0
3624,351,2294,1377,4520,0,0,850.0,5,1547,4.73,1292,302,1615,1006,120,48611.0,26394.0,45057.0,39383.0,21,729,277,1349,253,506,3886,2956,148,504,411,119,36,5.1,273,193,1215,571,282,3522,3218,26.9,694,303,12,126,280,765,550,12,0,9821412.0
2881,379,1957,1252,4060,18,0,799.0,21,1306,4.5,1242,229,1349,705,186,47484.0,28286.0,39746.0,40771.0,112,599,106,1132,124,466,3037,2504,32,384,319,176,83,5.0,146,98,871,539,216,2883,2999,24.7,505,288,0,94,178,961,237,29,0,8444897.0
3635,272,2279,1220,4646,0,0,787.0,19,1611,4.45,1304,390,1691,1025,191,43697.0,23497.0,40992.0,36854.0,62,762,263,1425,237,332,3008,2971,192,487,510,124,74,5.2,174,188,1184,509,193,3232,3280,29.2,887,132,0,61,137,802,301,0,0,9068131.0
2836,331,1909,796,3826,0,12,780.0,0,1067,4.82,922,266,1141,577,35,45879.0,23182.0,36750.0,34992.0,169,473,104,912,184,508,2479,2281,211,319,291,124,35,5.2,217,70,1002,557,146,2457,2626,26.7,683,173,0,66,187,610,285,12,0,7233317.0
2755,398,2009,1331,3780,58,0,857.0,9,1217,4.9,1033,220,1253,739,86,49074.0,30594.0,42516.0,41014.0,116,616,123,1037,360,518,3507,2240,58,380,297,103,51,5.4,174,108,655,717,173,2876,2753,24.0,694,229,0,43,194,902,227,5,0,7942048.0
2755,398,2009,1331,3780,58,0,857.0,9,1217,4.9,1033,220,1253,739,86,49074.0,30594.0,42516.0,41014.0,116,616,123,1037,360,518,3507,2240,58,380,297,103,51,5.4,174,108,655,717,173,2876,2753,24.0,694,229,0,43,194,902,227,5,0,7942048.0
525,127,331,189,632,4,0,1095.0,0,276,3.43,208,48,292,180,10,43000.0,18615.0,28879.0,23500.0,0,138,42,283,78,30,481,506,0,110,39,53,55,5.4,67,0,92,181,25,376,421,36.6,274,24,0,45,30,68,107,0,0,3705461.0
1555,316,1169,608,1992,55,5,688.0,7,756,4.14,666,272,763,464,67,46713.0,34602.0,47756.0,34583.0,30,385,79,729,215,167,2807,123,0,430,192,129,96,5.2,35,52,298,264,64,1707,1178,28.5,519,77,0,28,97,257,438,0,0,3927142.0
2049,326,1241,498,2515,35,0,2001.0,0,910,3.7,776,252,945,897,75,71475.0,37411.0,58214.0,62313.0,47,679,218,921,277,389,1864,1342,18,217,316,224,56,6.1,199,119,518,380,255,1610,1623,32.4,944,0,9,55,183,9,627,0,0,7274080.0
2213,379,1511,654,2832,7,0,833.0,0,1095,3.63,880,298,1183,799,164,61840.0,41701.0,58077.0,48778.0,31,471,328,1107,257,492,2376,2414,86,426,261,98,108,5.1,169,209,470,658,176,1854,1753,34.3,648,161,0,206,217,357,223,20,8,7195213.0
3653,714,2180,943,4405,38,0,1026.0,11,2028,3.4,1420,558,2123,1600,466,67938.0,50833.0,75286.0,58681.0,284,984,616,2056,573,698,4606,4142,120,714,476,228,67,5.4,472,406,855,713,445,2893,2795,34.6,1486,208,0,441,331,392,598,101,23,15046788.0
3645,683,2184,796,4155,46,0,1545.0,0,1844,3.22,1385,614,1844,1748,301,82826.0,60667.0,88157.0,75161.0,240,1047,701,1822,949,670,4503,4448,37,689,486,288,220,5.8,408,511,373,1159,357,2560,2583,44.4,1925,23,0,676,433,103,1043,0,0,20465625.0
3514,863,2141,811,4006,0,0,717.0,40,1865,3.28,1441,577,1952,1723,432,71132.0,63446.0,79542.0,71168.0,169,1175,548,1928,678,605,4376,4362,48,732,318,246,158,5.3,292,353,829,736,317,2777,2520,36.2,1748,32,12,447,287,76,1076,15,58,21177362.0
3952,644,2206,673,4460,0,0,760.0,6,1984,3.32,1507,674,1990,1838,436,79913.0,65449.0,81753.0,75377.0,110,1018,820,1976,482,775,4731,4784,0,962,233,140,292,5.3,260,609,992,737,299,2765,2866,36.6,1784,22,0,463,318,213,1142,18,0,14813297.0
1243,179,693,278,1351,1,0,832.0,0,592,3.5,417,217,632,464,53,50598.0,50077.0,51507.0,43289.0,95,299,165,616,204,125,1091,1347,95,149,173,40,31,5.0,108,119,231,206,213,850,847,41.8,378,6,0,37,54,120,273,1,0,4715593.0
1243,179,693,278,1351,1,0,832.0,0,592,3.5,417,217,632,464,53,50598.0,50077.0,51507.0,43289.0,95,299,165,616,204,125,1091,1347,95,149,173,40,31,5.0,108,119,231,206,213,850,847,41.8,378,6,0,37,54,120,273,1,0,4715593.0
1526,398,955,394,1766,31,122,442.0,0,1000,3.58,440,313,1056,249,113,46963.0,39844.0,55122.0,20156.0,109,213,36,1056,324,279,2233,73,274,307,144,41,65,4.5,141,16,312,362,67,1147,1101,36.9,233,238,0,109,76,241,71,324,27,4417441.0
1356,316,844,187,1396,0,164,566.0,0,349,3.02,257,630,1097,122,37,26711.0,33167.0,24271.0,18292.0,34,103,19,1085,215,77,1663,20,514,195,18,37,33,3.3,94,19,155,170,28,985,707,51.3,61,91,0,54,0,339,24,18,18,4959428.0
939,256,581,90,1088,71,10,949.0,12,383,3.71,159,134,438,31,56,44142.0,53750.0,22159.0,33571.0,68,31,0,392,126,99,1290,161,122,163,112,46,0,4.8,21,0,219,170,75,741,585,38.5,89,223,0,10,11,144,104,53,59,2843425.0
1449,413,828,407,1593,13,89,708.0,11,852,2.75,558,244,1059,328,81,52151.0,44329.0,40729.0,33063.0,108,289,39,1059,360,267,1977,153,337,144,118,50,44,4.2,222,39,214,280,44,1077,1024,38.2,87,323,0,178,0,509,73,52,7,787447.0
1045,173,762,408,1159,46,15,964.0,42,492,3.08,356,72,604,273,145,49133.0,90143.0,24352.0,45966.0,23,229,44,565,182,193,1679,64,58,219,114,66,79,5.2,175,44,241,256,80,1041,713,31.7,76,386,14,81,31,522,64,40,13,590428.0
624,133,374,153,677,24,82,637.0,0,408,3.14,155,132,520,107,24,37910.0,51053.0,60417.0,19389.0,35,107,0,520,151,37,873,36,160,79,106,68,41,4.6,24,0,148,172,49,461,433,39.2,76,208,0,0,0,244,126,62,93,595997.0
814,184,559,202,918,48,87,922.0,0,455,3.24,281,165,578,173,33,48196.0,33241.0,46382.0,32955.0,38,130,43,542,284,128,1432,17,89,72,142,62,36,4.7,94,43,304,155,94,888,555,29.2,7,257,0,50,46,300,84,38,0,210049.0
911,143,530,189,1041,7,0,788.0,14,546,2.92,340,35,571,323,38,73114.0,75357.0,52045.0,51964.0,11,302,21,571,346,45,1353,11,58,346,241,34,45,5.3,123,21,280,166,66,630,759,32.5,98,377,0,22,65,331,10,131,55,1507116.0
911,143,530,189,1041,7,0,788.0,14,546,2.92,340,35,571,323,38,73114.0,75357.0,52045.0,51964.0,11,302,21,571,346,45,1353,11,58,346,241,34,45,5.3,123,21,280,166,66,630,759,32.5,98,377,0,22,65,331,10,131,55,1507116.0
1848,417,1354,617,2238,45,134,569.0,9,913,3.34,686,356,1272,380,108,40552.0,56250.0,30903.0,24048.0,100,312,68,1225,351,359,2976,55,301,307,146,117,2,4.2,112,25,482,227,89,1708,1402,31.1,231,439,0,42,67,445,140,71,207,4630901.0
1848,417,1354,617,2238,45,134,569.0,9,913,3.34,686,356,1272,380,108,40552.0,56250.0,30903.0,24048.0,100,312,68,1225,351,359,2976,55,301,307,146,117,2,4.2,112,25,482,227,89,1708,1402,31.1,231,439,0,42,67,445,140,71,207,4630901.0
1389,381,954,426,1645,33,0,1028.0,10,847,3.02,607,187,898,433,113,91195.0,50954.0,55273.0,55845.0,81,330,103,866,375,196,2199,31,78,280,141,193,145,5.7,185,84,341,239,145,1255,970,32.6,331,337,0,149,68,767,35,115,97,2850697.0
1389,381,954,426,1645,33,0,1028.0,10,847,3.02,607,187,898,433,113,91195.0,50954.0,55273.0,55845.0,81,330,103,866,375,196,2199,31,78,280,141,193,145,5.7,185,84,341,239,145,1255,970,32.6,331,337,0,149,68,767,35,115,97,2850697.0
1763,491,1221,515,2162,169,69,917.0,0,1184,3.28,738,242,1210,309,77,42407.0,54536.0,29306.0,24844.0,77,225,84,1210,338,223,2952,59,146,396,362,112,89,5.2,127,38,479,284,240,1509,1461,30.6,199,649,0,129,59,778,114,109,0,1222590.0
1763,491,1221,515,2162,169,69,917.0,0,1184,3.28,738,242,1210,309,77,42407.0,54536.0,29306.0,24844.0,77,225,84,1210,338,223,2952,59,146,396,362,112,89,5.2,127,38,479,284,240,1509,1461,30.6,199,649,0,129,59,778,114,109,0,1222590.0
1464,299,1038,173,1713,0,64,794.0,0,633,3.05,436,159,809,101,68,36131.0,38317.0,12697.0,19180.0,28,70,31,781,135,51,2095,7,226,227,80,53,74,4.3,8,21,245,293,205,1261,896,39.6,121,156,0,0,31,410,109,0,27,1605556.0
2325,671,1765,627,2854,11,21,829.0,6,1370,3.18,897,411,1561,430,91,40827.0,44750.0,45612.0,30464.0,36,248,182,1475,321,196,3607,0,206,428,355,250,33,4.8,33,133,363,558,232,2247,1441,37.8,348,515,7,18,58,1371,84,25,0,4954519.0
821,241,653,237,1093,27,0,904.0,9,333,3.7,365,216,468,187,108,54528.0,82895.0,54964.0,47321.0,0,62,125,459,210,198,1495,0,18,120,23,116,44,4.9,9,116,116,205,18,847,648,29.6,216,187,0,2,86,237,11,9,0,1539700.0
2948,1253,2124,759,3468,102,0,817.0,6,1876,3.17,992,553,1964,762,228,41990.0,40787.0,34679.0,33567.0,165,543,219,1862,447,359,4502,36,112,628,685,158,82,5.2,94,156,442,478,467,2555,1947,38.9,523,539,0,78,0,1667,246,0,30,6911418.0
1898,567,1264,396,2230,36,46,818.0,28,1039,3.23,634,379,1138,584,95,48597.0,40734.0,47500.0,37689.0,117,403,181,1138,445,345,2561,17,111,293,415,88,79,5.5,71,164,215,449,181,1382,1234,45.0,557,140,0,23,92,998,115,0,0,7596636.0
