EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
734,52,516,219,988,0,0,679.0,0,351,4.16,319,67,408,235,20,53862.0,27052.0,39531.0,40203.0,29,133,102,355,107,173,982,631,28,120,134,46,22,5.1,79,76,281,59,100,820,770,24.5,207,108,0,59,68,362,83,0,0,2923724.0
1605,229,1076,479,2027,25,0,917.0,0,685,3.92,629,187,731,487,58,48796.0,33206.0,35019.0,36549.0,142,390,97,695,178,255,1211,1188,28,282,159,27,14,5.3,109,77,455,328,86,1354,1332,29.3,465,150,0,160,90,140,119,86,0,4167137.0
1347,50,838,314,1694,0,54,595.0,19,656,3.63,463,256,696,219,9,53967.0,43950.0,43869.0,30000.0,50,149,70,634,223,269,986,329,187,162,113,40,9,4.5,81,60,252,250,113,1012,1046,39.1,49,340,17,28,63,293,47,79,16,1314278.0
1269,138,749,253,1503,0,0,860.0,0,576,3.58,486,60,618,280,78,55364.0,43533.0,49022.0,45167.0,18,157,123,564,315,175,970,354,144,151,176,10,11,4.6,82,89,302,325,112,898,1012,35.3,65,229,0,45,65,299,10,47,107,2037453.0
1348,160,826,97,1543,9,141,313.0,0,767,2.66,318,484,873,163,76,39144.0,65076.0,58871.0,27153.0,75,49,114,873,177,142,1025,744,180,34,124,22,50,3.6,11,98,234,173,75,866,768,51.0,48,135,0,73,27,562,99,0,12,3569613.0
1958,271,1086,270,2194,0,0,924.0,0,991,3.18,672,260,1042,672,48,72126.0,65645.0,70135.0,53145.0,60,370,302,1011,480,226,1583,1465,29,236,314,56,90,5.4,197,179,418,299,102,1380,1251,38.5,420,242,0,289,66,475,41,52,85,147209.0
1958,271,1086,270,2194,0,0,924.0,0,991,3.18,672,260,1042,672,48,72126.0,65645.0,70135.0,53145.0,60,370,302,1011,480,226,1583,1465,29,236,314,56,90,5.4,197,179,418,299,102,1380,1251,38.5,420,242,0,289,66,475,41,52,85,147209.0
4915,320,3056,668,5781,144,164,644.0,0,1967,3.28,1760,981,2520,1235,213,41214.0,22319.0,32444.0,27866.0,172,571,664,2372,751,709,2523,742,415,710,255,104,88,4.3,124,490,691,863,473,3781,3189,41.9,153,565,0,217,194,569,206,340,305,7543787.0
4915,320,3056,668,5781,144,164,644.0,0,1967,3.28,1760,981,2520,1235,213,41214.0,22319.0,32444.0,27866.0,172,571,664,2372,751,709,2523,742,415,710,255,104,88,4.3,124,490,691,863,473,3781,3189,41.9,153,565,0,217,194,569,206,340,305,7543787.0
1806,511,1274,801,2364,40,0,1063.0,29,864,3.9,768,166,955,733,156,62971.0,41976.0,59015.0,53869.0,81,622,111,881,240,343,3094,340,29,419,384,58,54,5.4,151,62,315,447,264,1775,1595,26.4,825,124,0,14,146,59,519,0,0,11415922.0
1806,511,1274,801,2364,40,0,1063.0,29,864,3.9,768,166,955,733,156,62971.0,41976.0,59015.0,53869.0,81,622,111,881,240,343,3094,340,29,419,384,58,54,5.4,151,62,315,447,264,1775,1595,26.4,825,124,0,14,146,59,519,0,0,11415922.0
3843,564,2410,1220,4805,20,0,986.0,19,1762,3.94,1482,334,1828,1567,304,58288.0,36663.0,53810.0,53719.0,230,1203,364,1661,582,563,4259,2174,9,636,494,246,121,5.6,187,179,1276,760,264,3291,3248,28.8,1676,25,0,19,382,117,662,0,0,13911971.0
3220,938,1940,1147,3955,0,0,1084.0,0,1641,3.73,1321,431,1708,1486,195,62390.0,40086.0,59282.0,52389.0,309,1096,390,1688,351,698,4120,2545,64,484,418,198,203,5.8,221,197,1007,589,259,2838,2538,31.8,1510,89,0,119,221,0,1066,64,0,13485671.0
3591,954,2391,890,4543,0,0,879.0,0,1646,3.67,1385,526,1741,1605,367,72364.0,50169.0,78475.0,62552.0,110,1192,413,1707,534,760,4410,2285,18,749,614,138,86,5.5,348,255,664,744,393,2947,2688,36.3,1609,95,0,314,431,119,594,0,0,13606564.0
3722,968,2336,1336,4550,28,0,944.0,0,1689,4.02,1433,321,1761,1649,434,67796.0,41445.0,63646.0,63438.0,259,1478,171,1617,798,550,5495,1426,0,449,574,346,103,6.0,296,164,948,954,328,3356,3060,31.2,1565,204,0,121,369,142,775,14,86,17375069.0
